127.0.0.1 - - [18/Oct/2019:09:14:19 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:19 +0900] "GET /Html_ex1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:19 +0900] "GET /Html_ex1/imgs/common/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:19 +0900] "GET /Html_ex1/imgs/common/jyplogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:19 +0900] "GET /Html_ex1/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:19 +0900] "GET /Html_ex1/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:19 +0900] "GET /Html_ex1/imgs/common/navbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:19 +0900] "GET /Html_ex1/css/imgs/common/footer.jpg HTTP/1.1" 404 1166
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:35 +0900] "GET /Html_ex1/notice/noticeList.html HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:35 +0900] "GET /Html_ex1/css/reset.css HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:35 +0900] "GET /Html_ex1/imgs/common/footer.jpg HTTP/1.1" 200 3073
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:35 +0900] "GET /Html_ex1/css/layout.css HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:35 +0900] "GET /Html_ex1/imgs/common/jyplogo.png HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:35 +0900] "GET /Html_ex1/css/imgs/common/footer.jpg HTTP/1.1" 404 1166
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:35 +0900] "GET /Html_ex1/imgs/common/navbg.png HTTP/1.1" 200 2878
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:39 +0900] "GET /Html_ex1/notice/noticeList.html HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:39 +0900] "GET /Html_ex1/imgs/common/jyplogo.png HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:39 +0900] "GET /Html_ex1/imgs/common/footer.jpg HTTP/1.1" 200 3073
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:39 +0900] "GET /Html_ex1/css/reset.css HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:39 +0900] "GET /Html_ex1/css/layout.css HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:39 +0900] "GET /Html_ex1/imgs/common/navbg.png HTTP/1.1" 200 2878
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:39 +0900] "GET /Html_ex1/css/imgs/common/footer.jpg HTTP/1.1" 404 1166
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:39 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:42 +0900] "GET /Html_ex1/index.html HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [18/Oct/2019:09:14:43 +0900] "GET /Html_ex1/index.html HTTP/1.1" 200 1569
